timestamp,test_phase,command_type,command_value,turret_velocity_rps,turret_position_rot,motor_voltage,stator_current,supply_voltage
196.836308,1.0,0.0,-2.5,-0.421875,3.20166015625,-2.52,5.08,11.775762451171875
196.856231,1.0,0.0,-2.5,-0.42578124999999994,3.193359375,-2.52,5.0200000000000005,11.79460986328125
196.87621,1.0,0.0,-2.5,-0.43359375,3.1845703125,-2.52,4.8,11.76947998046875
196.89539,1.0,0.0,-2.5,-0.419921875,3.177734375,-2.5300000000000002,5.26,11.782044921875
196.915795,1.0,0.0,-2.5,-0.40820312500000006,3.16748046875,-2.52,5.9,11.76947998046875
196.938352,1.0,0.0,-2.5,-0.4140625,3.15869140625,-2.52,5.38,11.775762451171875
196.959276,1.0,0.0,-2.5,-0.41015625,3.150390625,-2.52,5.5200000000000005,11.775762451171875
196.97688,1.0,0.0,-2.5,-0.42773437500000006,3.1416015625,-2.52,5.0200000000000005,11.76947998046875
196.996989,1.0,0.0,-2.5,-0.44140625,3.1328125,-2.52,4.64,11.782044921875
197.017802,1.0,0.0,-2.5,-0.43359375,3.12451171875,-2.52,4.9,11.775762451171875
197.036482,1.0,0.0,-2.5,-0.43359375,3.11572265625,-2.52,5.0,11.775762451171875
197.057313,1.0,0.0,-2.5,-0.421875,3.10693359375,-2.52,5.04,11.788327392578125
197.077625,1.0,0.0,-2.5,-0.41015625,3.0986328125,-2.52,5.24,11.782044921875
197.098234,1.0,0.0,-2.5,-0.4296875,3.08984375,-2.52,4.26,11.775762451171875
197.115597,1.0,0.0,-2.5,-0.4296875,3.0810546875,-2.52,4.58,11.775762451171875
197.137097,1.0,0.0,-2.5,-0.44140625,3.0722656250000004,-2.5300000000000002,4.2,11.775762451171875
197.156389,1.0,0.0,-2.5,-0.416015625,3.0639648437500004,-2.5300000000000002,5.48,11.775762451171875
197.178129,1.0,0.0,-2.5,-0.44140625,3.05517578125,-2.52,4.96,11.775762451171875
197.198219,1.0,0.0,-2.5,-0.421875,3.04638671875,-2.52,4.66,11.788327392578125
197.215786,1.0,0.0,-2.5,-0.4296875,3.0380859375,-2.52,4.38,11.788327392578125
197.236413,1.0,0.0,-2.5,-0.423828125,3.03076171875,-2.5300000000000002,4.88,11.775762451171875
197.259063,1.0,0.0,-2.5,-0.41796875,3.0205078125,-2.52,4.28,11.775762451171875
197.276723,1.0,0.0,-2.5,-0.443359375,3.01171875,-2.52,3.98,11.788327392578125
197.299762,1.0,0.0,-2.5,-0.431640625,3.0029296874999996,-2.52,4.28,11.76947998046875
197.316364,1.0,0.0,-2.5,-0.423828125,2.994140625,-2.52,4.5200000000000005,11.763197509765625
197.33829,1.0,0.0,-2.5,-0.4375,2.9853515625,-2.52,4.5,11.775762451171875
197.355801,1.0,0.0,-2.5,-0.423828125,2.97705078125,-2.52,4.74,11.7569150390625
197.376355,1.0,0.0,-2.5,-0.41796875,2.9697265625,-2.52,5.26,11.7569150390625
197.39561,1.0,0.0,-2.5,-0.4296875,2.96142578125,-2.52,5.04,11.7569150390625
197.415792,1.0,0.0,-2.5,-0.4296875,2.951171875,-2.52,4.78,11.782044921875
197.438089,1.0,0.0,-2.5,-0.431640625,2.9423828125,-2.52,4.64,11.775762451171875
197.45803,1.0,0.0,-2.5,-0.4375,2.93359375,-2.52,4.64,11.7569150390625
197.478213,1.0,0.0,-2.5,-0.4375,2.9248046875,-2.52,4.48,11.763197509765625
197.49949,1.0,0.0,-2.5,-0.431640625,2.91650390625,-2.52,4.32,11.775762451171875
197.518114,1.0,0.0,-2.5,-0.431640625,2.9072265625,-2.52,4.68,11.782044921875
197.536497,1.0,0.0,-2.5,-0.41796875,2.89892578125,-2.52,4.72,11.775762451171875
197.556976,1.0,0.0,-2.5,-0.42578124999999994,2.89013671875,-2.52,4.46,11.788327392578125
197.57842,1.0,0.0,-2.5,-0.4296875,2.8813476562500004,-2.52,4.72,11.76947998046875
197.597953,1.0,2.0,0.0,-0.10156250000000001,2.8759765625,0.0,-12.36,11.819739746093749
197.618098,1.0,2.0,0.0,-0.0703125,2.8740234374999996,0.0,-8.38,11.819739746093749
197.639004,1.0,2.0,0.0,-0.009765625,2.873046875,0.54,5.72,11.8071748046875
197.65863,1.0,2.0,0.0,0.0,2.873046875,0.28,0.8,11.8071748046875
197.678404,1.0,2.0,0.0,0.0,2.873046875,-0.01,-0.3,11.819739746093749
